Alan Johnson;male;White: British;60
Alan Lang;male;White: British;51
Alan Mitchell;male;White: British;89
Alan Moore;male;Asian or Asian British: Chinese;0
Alan Scott;male;White: British;33
Alan Tripp;male;White: British;70
Alan Valdez;male;Other: Any other ethnic group;75
Alanna Mikasa;female;Asian or Asian British: Other Asian;74
Albert Allen;male;Asian or Asian British: Other Asian;61
Albert Blando;male;Asian or Asian British: Other Asian;82
Albert Carlo;male;Black or Black British: African;73
Albert Chritton;male;Black or Black British: African;87
Albert Cintron;male;White: Irish;1
Albert Curtis;male;Asian or Asian British: Indian;75
Albert Deluca;male;White: British;75
Albert Harris;male;Asian or Asian British: Indian;81
Albert Newsome;male;Black or Black British: African;23
Albert Price;male;White: Other;33
Albert Sims;male;Asian or Asian British: Indian;69
Albert Velasquez;male;Asian or Asian British: Other Asian;80
Alberta Epps;female;Asian or Asian British: Other Asian;66
Alberta Johnson;female;Asian or Asian British: Indian;86
Alberta Mcallister;female;Asian or Asian British: Indian;80
Albertha Kennedy;female;White: British;63
Alberto Maldomado;male;White: British;62
Albina Lowe;female;White: British;58
Aldo Wright;male;White: British;87
Alec Marsh;male;White: British;48
Alecia Harding;female;Mixed: Other Mixed;84
Alecia Schwartz;female;Other: Arab;85
Aleisha Taylor;female;White: British;72
Alejandro Flores;male;White: British;64
Alejandro Rhodes;male;White: British;73
Alesha Blackman;female;White: Other;5
Alesha Garvey;female;Asian or Asian British: Indian;51
Alesia York;female;White: British;21
Alethea Moore;female;White: British;77
Alethia Schofield;female;Black or Black British: Caribbean;4
Alex Petit;male;Mixed: White and Asian;88
Alex Skalicky;male;White: British;77
Alex Twitty;male;Black or Black British: Caribbean;0
Alex Vargas;male;White: Other;28
Alexander Monaco;male;White: British;76
Alexander Rose;male;Asian or Asian British: Pakistani;55
Alexander Simmons;male;White: Other;66
Alexander Taylor;male;White: British;86
Alexander White;male;Asian or Asian British: Indian;86
Alexandria Kragt;female;White: British;84
Alexandria Moskovitz;female;Black or Black British: African;65
Alexandria Quilliams;female;Other: Any other ethnic group;81
Alexis Brown;female;White: British;61
Alexis Jarrett;female;Asian or Asian British: Chinese;73
Alexis Machado;male;Other: Arab;65
Alfonso Moniz;male;White: British;82
Alfonso Mowers;male;White: Other;86
Alfred Delk;male;White: British;73
Alfred Mather;male;Asian or Asian British: Bangladeshi;77
Alfred Mcclintock;male;Other: Arab;35
Alfred Mitchem;male;Asian or Asian British: Indian;2
Alfred Murry;male;Asian or Asian British: Chinese;76
Alfred Younce;male;White: British;83
Alfredo Cordova;male;Asian or Asian British: Pakistani;61
Alfredo Gepner;male;Mixed: Other Mixed;81
Alfredo Miramontes;male;White: British;75
Alfredo Oloughlin;male;White: British;30
Alfredo Sandoz;male;White: Other;83
Alice Beaty;female;White: British;30
Alice Fontana;female;Black or Black British: Other Black;66
Alice Jay;female;White: British;73
Alice Mahoney;female;White: Irish;83
Alice Mcclellan;female;Asian or Asian British: Other Asian;43
Alice Reyes;female;Black or Black British: Other Black;84
Alice Riley;female;Other: Any other ethnic group;68
Alice Sandmann;female;Mixed: Other Mixed;77
Alice Suiter;female;White: British;77
Alice Vaughan;female;White: Irish;86
Alice Vaughn;female;Asian or Asian British: Indian;73
Alicia Angelo;female;Asian or Asian British: Other Asian;88
Alicia Hewes;female;Other: Any other ethnic group;62
Alicia Hovey;female;White: British;33
Alicia Irwin;female;Asian or Asian British: Other Asian;86
Alicia Mcalister;female;White: British;55
Alicia Mortenson;female;White: British;72
Alicia Paul;female;White: British;89
Alicia Poole;female;White: British;85
Alicia Ramey;female;Asian or Asian British: Other Asian;0
Alicia Rhoda;female;Black or Black British: African;86
Alicia Vickers;female;White: British;8
Aline Williams;female;White: British;77
Alisha Benedetto;female;White: British;81
Alisha Davis;female;Black or Black British: Caribbean;82
Alisha Dieball;female;Mixed: White and Black African;43
Alisia Le;female;Mixed: White and Black African;80
Alison Atchison;female;Asian or Asian British: Other Asian;87
Alison Hairston;female;White: Irish;16
Alison Lowrie;female;Asian or Asian British: Indian;28
Alison Tsai;female;White: British;83
Allan Perez;male;White: Other;89
Allan Rast;male;White: Other;87
Allan Vasquez;male;White: Other;86
Allen Arnold;male;White: British;65
Allen Nation;male;Asian or Asian British: Other Asian;0
Allen Neal;male;Black or Black British: African;78
Allen Power;male;White: Other;2
Allen Rodriquez;male;White: British;42
Allen Rothe;male;Mixed: White and Black African;84
Allen Seide;male;Mixed: Other Mixed;85
Allen Smith;male;Black or Black British: Caribbean;66
Allen Stillson;male;White: Other;89
Allene Demme;female;White: British;62
Allie Caldwell;female;Asian or Asian British: Indian;88
Allie Goldsberry;female;Asian or Asian British: Other Asian;73
Allison Haber;female;Mixed: Other Mixed;71
Allison Johnson;female;White: British;85
Alma Adams;female;White: British;26
Alma Baadsgaard;female;White: British;4
Alma Bogle;female;Black or Black British: Caribbean;75
Alma Coles;female;Asian or Asian British: Pakistani;46
Alma Dickey;female;White: British;7
Alma Fields;female;White: British;0
Alma Gentry;female;White: British;4
Alma Hahn;female;White: British;53
Alma Heredia;female;Other: Any other ethnic group;60
Alma Jones;female;White: British;81
Alma Mucha;female;White: Other;74
Alma Newman;female;White: Other;24
Alta Childress;female;Asian or Asian British: Bangladeshi;46
Alta Hall;female;Asian or Asian British: Indian;45
Alta Yarbrough;female;Asian or Asian British: Other Asian;83
Alton Allen;male;White: British;59
Alton Bradley;male;White: British;65
Alton Newberry;male;White: British;74
Alton Tong;male;White: British;67
Alvaro Anderson;male;Black or Black British: Other Black;89
Alvin Aiello;male;White: British;89
Alvin Perry;male;Other: Any other ethnic group;57
Alvin Worley;male;Asian or Asian British: Indian;55
Amalia Allen;female;White: Other;20
Amanda Beach;female;White: Other;6
Amanda Bedwell;female;Asian or Asian British: Chinese;85
Amanda Campbell;female;White: British;26
Amanda Carson;female;White: Other;81
Amanda Cheney;female;White: British;89
Amanda Crane;female;Asian or Asian British: Pakistani;2
Amanda Howe;female;White: Other;80
Amanda Howell;female;White: British;87
Amanda Kim;female;White: British;84
Amanda Lester;female;White: British;66
Amanda Martinez;female;Asian or Asian British: Other Asian;71
Amanda Miguel;female;White: British;47
Amanda Niemi;female;Black or Black British: African;25
Amanda Osorio;female;Black or Black British: African;77
Amanda Schultz;female;White: Other;75
Amanda Vanslyke;female;White: British;1
Amanda Vanwagner;female;Asian or Asian British: Other Asian;86
Amanda Wells;female;White: British;80
Amanda Wingerd;female;Asian or Asian British: Indian;56
Amber Barker;female;Asian or Asian British: Pakistani;75
Amber Burke;female;Black or Black British: Caribbean;82
Amber Butler;female;White: Other;73
Amber Campbell;female;Asian or Asian British: Pakistani;60
Amber Casley;female;Black or Black British: African;65
Amber Castro;female;White: British;60
Amber Conner;female;Asian or Asian British: Pakistani;50
Amber Crain;female;White: British;85
Amber Kirkpatrick;female;White: British;79
Amber Musick;female;White: British;83
Amber Oconner;female;Mixed: White and Black African;72
Amber Rivera;female;White: Other;69
Ambrose Balint;male;White: British;0
Amie Willard;female;Other: Arab;2
Amos Tubbs;male;White: British;84
Amparo Cervantes;female;White: British;72
Amparo Seaman;female;Mixed: Other Mixed;17
Amy Bialaszewski;female;White: British;82
Amy Byrd;female;White: British;78
Amy Davis;female;Asian or Asian British: Other Asian;88
Amy Dyke;female;White: British;81
Amy Fuller;female;Asian or Asian British: Indian;73
Amy Gay;female;White: Other;82
Amy Gilliland;female;White: British;20
Amy Gilreath;female;White: British;57
Amy Herrington;female;White: British;63
Amy Heyde;female;White: British;4
Amy Hildebrandt;female;White: British;85
Amy Hughes;female;White: British;81
Amy Kubicek;female;Asian or Asian British: Pakistani;77
Amy Lilly;female;White: British;83
Amy Manz;female;White: Irish;79
Amy Mellis;female;White: British;70
Amy Morse;female;Asian or Asian British: Other Asian;54
Amy Poarch;female;White: Other;88
Amy Redding;female;White: British;13
Amy Rogers;female;Mixed: White and Black Caribbean;88
Amy Sedotal;female;White: British;62
Amy Swaim;female;Asian or Asian British: Other Asian;22
Amy Than;female;White: British;85
Amy Yarbrough;female;White: British;27
Ana Delzer;female;White: British;88
Ana Fritch;female;Black or Black British: African;79
Ana Givens;female;White: British;29
Ana Matthews;female;White: Other;53
Ana Natoli;female;Black or Black British: African;87
Anastacia Glowacki;female;White: Other;21
Anastasia Marker;female;White: British;72
Andra Lowell;female;White: British;25
Andre Garcia;male;Mixed: White and Black Caribbean;68
Andre Glover;male;White: British;79
Andre Keats;male;White: Other;76
Andre Stinchcomb;male;White: Other;52
Andrea Beall;female;Mixed: Other Mixed;89
Andrea Bryant;female;White: Other;86
Andrea Haugen;female;White: British;85
Andrea Kochanski;female;White: British;84
Andrea Krenz;female;Black or Black British: African;88
Andrea Mayoka;female;Black or Black British: Caribbean;52
Andrea Needham;female;White: British;81
Andrea Vail;female;White: British;86
Andrea Wiley;female;White: British;66
Andrea Xiong;female;White: British;76
Andres Mcclaughry;male;Black or Black British: African;84
Andres Scales;male;White: British;3
Andrew Acosta;male;White: British;77
Andrew Ainley;male;Asian or Asian British: Other Asian;84
Andrew Andrews;male;Black or Black British: Caribbean;35
Andrew Bergen;male;White: Other;56
Andrew Bornhorst;male;White: Other;23
Andrew Christy;male;Other: Any other ethnic group;60
Andrew Clay;male;White: British;59
Andrew Cooley;male;White: British;88
Andrew Cordier;male;White: British;77
Andrew Downs;male;White: British;51
Andrew Guthrie;male;White: British;75
Andrew Hunter;male;White: British;86
Andrew Hutton;male;Black or Black British: African;77
Andrew Leach;male;White: British;78
Andrew Moore;male;White: British;86
Andrew Morvant;male;White: British;76
Andrew Nailer;male;White: British;61
Andrew Prichard;male;Asian or Asian British: Chinese;47
Andrew Reid;male;White: Other;67
Andrew Rogers;male;White: British;73
Andrew Sahsman;male;Asian or Asian British: Bangladeshi;85
Andrew Sayers;male;White: British;63
Andrew Sells;male;Asian or Asian British: Pakistani;3
Andrew Sharkey;male;White: British;1
Andrew Smith;male;Other: Any other ethnic group;3
Andrew Sterling;male;Black or Black British: African;84
Andrew Stevens;male;White: British;1
Andrew Thompson;male;White: British;3
Andrew Todd;male;White: British;69
Andrew Welton;male;White: British;82
Andrew White;male;Mixed: White and Black African;4
Andy Claycomb;male;Asian or Asian British: Other Asian;80
Andy Johnston;male;White: British;85
Anette Rivera;female;Asian or Asian British: Other Asian;32
Angel Caldwell;male;White: Other;71
Angel Chu;male;White: British;3
Angel Collins;male;White: Other;76
Angel Disney;male;White: British;89
Angel Floyd;male;White: British;86
Angel Frank;male;Black or Black British: Caribbean;71
Angel Goode;male;White: Other;1
Angel Holbach;male;White: Gypsy or Irish Traveller;2
Angel Jackson;male;White: British;45
Angel Li;female;Asian or Asian British: Indian;83
Angel Scott;male;Black or Black British: Caribbean;64
Angel Walat;female;White: British;84
Angela Baker;female;White: British;83
Angela Beckett;female;Asian or Asian British: Pakistani;4
Angela Black;female;White: British;81
Angela Cole;female;White: British;4
Angela Cullinane;female;White: Other;86
Angela Dillard;female;Mixed: Other Mixed;0
Angela Gallego;female;White: Other;8
Angela Johns;female;Mixed: White and Asian;80
Angela Kinnaman;female;White: British;76
Angela Knight;female;White: British;50
Angela Longhurst;female;Black or Black British: Caribbean;70
Angela Marcella;female;White: British;79
Angela Miller;female;White: British;3
Angela Ocasio;female;Asian or Asian British: Indian;44
Angela Rogers;female;Asian or Asian British: Pakistani;70
Angela Russell;female;White: British;81
Angela Sinclair;female;White: Other;54
Angela Soloman;female;Asian or Asian British: Chinese;83
Angela Stephens;female;Mixed: White and Black Caribbean;72
Angela Stockton;female;Asian or Asian British: Indian;89
Angela Switzer;female;White: British;78
Angela Turk;female;White: British;65
Angela Wedlow;female;Black or Black British: Caribbean;1
Angela White;female;Black or Black British: Caribbean;86
Angela White;female;White: Irish;68
Angela Williams;female;Black or Black British: African;43
Angela Zuniga;female;Other: Arab;87
Angelia Garcia;female;Black or Black British: Caribbean;4
Angelica Anderson;female;White: Other;72
Angelica Miller;female;Mixed: Other Mixed;81
Angelina Angotti;female;White: British;86
Angelina Gilmore;female;White: British;80
Angelina Llewellyn;female;White: British;64
Angeline James;female;White: British;87
Angelita Dudley;female;White: British;52
Angelita Mckinney;female;White: British;85
Angelo Bright;male;Asian or Asian British: Bangladeshi;75
Angelo Norman;male;White: Other;70
Angie Belanger;female;White: Other;81
Angie Hauser;female;White: British;88
Angie Lisonbee;female;White: Other;76
Angie Robertson;female;White: British;80
Angie Rosa;female;White: Other;82
Angie Wolfe;female;White: British;75
Angie Young;female;White: British;79
Anita Callaghan;female;White: Other;61
Anita Chambers;female;White: British;83
Anita Fancher;female;Black or Black British: Caribbean;76
Anita Hall;female;White: British;20
Anita Humphrey;female;White: Other;80
Anita Johnson;female;White: Other;60
Anita Ragin;female;Other: Any other ethnic group;71
Anita Reeves;female;Asian or Asian British: Pakistani;46
Anita Stehlik;female;White: Other;87
Anja Deckman;female;Asian or Asian British: Bangladeshi;72
Ann Bibb;female;Asian or Asian British: Indian;14
Ann Brown;female;White: British;87
Ann Camp;female;Black or Black British: African;1
Ann Darby;female;Black or Black British: Caribbean;81
Ann Dean;female;Asian or Asian British: Bangladeshi;82
Ann Detamore;female;White: British;84
Ann Fincher;female;White: British;81
Ann Herbert;female;Asian or Asian British: Chinese;68
Ann Levesque;female;White: British;20
Ann Lopez;female;White: British;86
Ann Michaels;female;Black or Black British: African;76
Ann Myers;female;White: British;21
Ann Orozco;female;White: British;72
Ann Perez;female;White: Other;83
Ann Pierson;female;Other: Arab;82
Ann Scott;female;White: Other;89
Ann Starr;female;White: Irish;85
Ann Tran;female;White: British;7
Ann Williams;female;White: British;84
Anna Adair;female;White: Irish;47
Anna Allen;female;White: British;82
Anna Bennett;female;Mixed: White and Black Caribbean;3
Anna Carroll;female;White: British;89
Anna Cartwright;female;Mixed: White and Black Caribbean;86
Anna Cox;female;Asian or Asian British: Indian;47
Anna Curcio;female;Asian or Asian British: Other Asian;87
Anna Davis;female;White: British;77
Anna Erickson;female;White: British;29
Anna Gardiner;female;White: Irish;15
Anna Humphrey;female;White: British;81
Anna Hurlock;female;Asian or Asian British: Other Asian;68
Anna Jones;female;Asian or Asian British: Other Asian;2
Anna Jones;female;Asian or Asian British: Bangladeshi;70
Anna Kiser;female;White: Other;4
Anna Lemmons;female;White: British;43
Anna Mcnutt;female;White: Other;86
Anna Meier;female;White: British;56
Anna Montalvan;female;Asian or Asian British: Pakistani;82
Anna Owens;female;Black or Black British: Other Black;88
Anna Petty;female;Black or Black British: Other Black;83
Anna Semple;female;White: British;4
Anna Sulzer;female;White: Other;84
Anna Taegel;female;Asian or Asian British: Chinese;82
Anna Thompson;female;White: British;84
Anna Tineo;female;Asian or Asian British: Indian;85
Anna Tolbert;female;Asian or Asian British: Chinese;88
Anna Valencia;female;White: British;71
Anna Villalba;female;White: British;67
Anna Whitaker;female;Black or Black British: African;80
Anna Zimmerman;female;White: British;88
Anne Berg;female;White: British;53
Anne Blocker;female;White: British;87
Anne Brown;female;White: British;56
Anne Fenwick;female;Asian or Asian British: Other Asian;83
Anne Jordan;female;White: British;88
Anne Lanoue;female;Other: Any other ethnic group;1
Anne Martin;female;Black or Black British: African;82
Anne Mohabir;female;White: British;25
Anne Monreal;female;Mixed: White and Black African;80
Anne Rex;female;Asian or Asian British: Indian;45
Anne Stark;female;Mixed: White and Black Caribbean;29
Anne Strohmayer;female;White: British;39
Anne Sullivan;female;Asian or Asian British: Pakistani;70
Anne Troyer;female;White: Other;77
Anne Wilbon;female;White: Other;0
Annetta Margeson;female;White: British;61
Annette Cusick;female;White: Other;83
Annette Harris;female;White: British;77
Annette Jacobson;female;White: British;59
Annette Mutchler;female;White: Other;36
Annette Sanderson;female;Asian or Asian British: Indian;68
Annette Sims;female;White: British;72
Annette Swenson;female;White: British;88
Annie Burton;female;Asian or Asian British: Indian;81
Annie Catchings;female;White: British;77
Annie Chapman;female;White: British;67
Annie Dorsey;female;White: British;3
Annie Foster;female;White: British;53
Annie Hunter;female;White: British;76
Annie Lee;female;Asian or Asian British: Other Asian;82
Annie Mckay;female;White: British;89
Annie Nunez;female;White: British;74
Annie Ryerson;female;White: British;80
Annie Studler;female;White: British;82
Annie Walker;female;White: British;34
Annmarie Buchan;female;Black or Black British: Caribbean;78
Anthony Becker;male;Asian or Asian British: Chinese;84
Anthony Clark;male;Black or Black British: Other Black;72
Anthony Demello;male;Black or Black British: African;83
Anthony Depaul;male;White: Other;2
Anthony Downey;male;Other: Arab;76
Anthony Dyer;male;Mixed: White and Asian;80
Anthony Francis;male;White: British;86
Anthony Fuente;male;Black or Black British: Caribbean;25
Anthony Green;male;White: British;24
Anthony Haveman;male;White: Other;89
Anthony Kershaw;male;White: British;68
Anthony Kuether;male;White: British;85
Anthony Leong;male;White: British;78
Anthony Mares;male;White: British;86
Anthony Masin;male;Asian or Asian British: Pakistani;84
Anthony Mcneil;male;White: British;73
Anthony Melton;male;White: Other;84
Anthony Moreno;male;White: British;88
Anthony Mullen;male;White: British;77
Anthony Navor;male;Asian or Asian British: Bangladeshi;50
Anthony Pacheco;male;White: British;38
Anthony Parker;male;Mixed: Other Mixed;83
Anthony Payton;male;White: British;80
Anthony Pope;male;White: Other;48
Anthony Rankin;male;Asian or Asian British: Pakistani;27
Anthony Raymond;male;White: British;28
Anthony Rosson;male;White: British;77
Anthony Struck;male;Asian or Asian British: Other Asian;51
Anthony Stutzman;male;White: British;65
Anthony Trantham;male;White: British;89
Anthony Treadway;male;Asian or Asian British: Bangladeshi;5
Anthony Vanderlinden;male;White: British;87
Anthony Ward;male;White: British;82
Anthony Watson;male;Black or Black British: African;88
Anthony Willis;male;White: British;64
Anthony Wills;male;White: British;66
Anthony Wilson;male;Black or Black British: African;76
Anthony Wolfe;male;Black or Black British: Caribbean;82
Antionette Roach;female;White: British;85
Antoine Baker;male;White: Other;56
Antoine Esposito;male;Black or Black British: Other Black;16
Antoinette Aguilar;female;White: Other;80
Antoinette Clinton;female;Black or Black British: Caribbean;89
Antoinette Dalton;female;Other: Arab;34
Antoinette Madonia;female;Asian or Asian British: Other Asian;4
Antoinette Pittman;female;White: British;67
Antonia Yelverton;female;Black or Black British: African;79
Antonio Beavers;male;Mixed: White and Black African;74
Antonio Castilleja;male;Black or Black British: Caribbean;0
Antonio Chaplin;male;White: British;88
Antonio Easley;male;Mixed: White and Black Caribbean;78
Antonio Fetty;male;Mixed: Other Mixed;77
Antonio Gomez;male;White: Other;85
Antonio Jenkins;male;White: British;67
Antonio Knuth;male;White: British;89
Antonio Langevin;male;Mixed: White and Black Caribbean;36
Antonio Lawrence;male;Black or Black British: Caribbean;87
Antonio Mills;male;Mixed: Other Mixed;84
Antonio Santoyo;male;White: British;72
Antonio Seibel;male;White: Other;87
Antonio Snoke;male;Mixed: White and Asian;0
Antonio Thomas;male;Black or Black British: Other Black;35
April Christ;female;Black or Black British: African;87
April Fox;female;White: Other;79
April Francois;female;White: British;41
April Guzman;female;Asian or Asian British: Other Asian;85
April Koonce;female;Asian or Asian British: Indian;36
April Martinez;female;White: British;70
Apryl Easterling;female;White: Other;13
Ara Jaeger;female;Mixed: White and Asian;76
Araceli Williams;female;Other: Any other ethnic group;83
Ardath Vandyke;female;Asian or Asian British: Indian;0
Arden Bush;male;Black or Black British: African;80
Arden Hogan;male;White: Other;79
Ardith Yerkey;female;Other: Any other ethnic group;59
Argelia Leetch;female;Asian or Asian British: Bangladeshi;84
Ariana Acton;female;White: British;86
Ariane Lee;female;Mixed: Other Mixed;77
Ariel Decarr;male;White: British;86
Arlene Herbert;female;Mixed: White and Black Caribbean;80
Arlene Lucas;female;Asian or Asian British: Indian;9
Arlene Opunui;female;Asian or Asian British: Pakistani;88
Arlene Parker;female;White: British;63
Arlene Randall;female;Black or Black British: Caribbean;88
Armand Stephens;male;White: Other;68
Armando Blanks;male;White: British;53
Armida Losada;female;Asian or Asian British: Indian;88
Arminda Frederick;female;White: Other;87
Arnold Kent;male;Black or Black British: African;43
Arnold Smith;male;Asian or Asian British: Bangladeshi;87
Arnold Xue;male;White: Irish;88
Aron Overshown;male;White: British;87
Art Jorgenson;male;White: British;87
Art Reeve;male;White: British;87
Art Smith;male;White: British;26
Arthur Almy;male;White: Other;0
Arthur Auker;male;Asian or Asian British: Indian;89
Arthur Camarillo;male;White: British;88
Arthur Crouch;male;White: Other;74
Arthur Crumble;male;White: British;84
Arthur Davis;male;White: British;53
Arthur Denton;male;White: British;26
Arthur Kelley;male;Black or Black British: African;77
Arthur Kellogg;male;White: Other;59
Arthur Kingsley;male;White: British;84
Arthur Lin;male;White: British;89
Arthur Moore;male;White: British;73
Arthur Porter;male;White: British;71
Arthur Sharma;male;White: British;54
Arthur Small;male;Mixed: White and Black Caribbean;59
Arthur Weber;male;White: British;34
Arthur Wene;male;Asian or Asian British: Pakistani;70
Arthur Wester;male;White: Other;75
Arturo Bradley;male;Asian or Asian British: Chinese;81
Ashley Coulter;female;White: British;84
Ashley Denton;female;Asian or Asian British: Bangladeshi;74
Ashley Diaz;female;White: British;86
Ashley Dikes;female;Asian or Asian British: Pakistani;62
Ashley Dondero;female;White: British;78
Ashley Dotson;female;Asian or Asian British: Other Asian;22
Ashley Egnew;female;Asian or Asian British: Chinese;77
Ashley Emmons;female;White: Other;59
Ashley Ferraro;female;Asian or Asian British: Indian;86
Ashley Gibson;female;Asian or Asian British: Bangladeshi;82
Ashley Grigg;female;Asian or Asian British: Bangladeshi;86
Ashley Jones;female;Asian or Asian British: Bangladeshi;67
Ashley Koch;female;White: British;62
Ashley Long;female;White: British;75
Ashley Martin;female;White: British;63
Ashley Mihaly;female;White: British;1
Ashley Myers;female;White: British;31
Ashley Newman;female;Asian or Asian British: Indian;87
Ashley Nunez;female;White: Irish;78
Ashley Reep;female;White: British;70
Ashley Staker;female;White: Other;20
Ashley Thomas;female;White: British;89
Ashley Tucker;female;Asian or Asian British: Other Asian;81
Ashley Watkins;female;Black or Black British: Caribbean;2
Asia Giles;female;White: British;78
Asia Zink;female;Asian or Asian British: Other Asian;61
Athena Birch;female;Asian or Asian British: Pakistani;89
Audra Adler;female;White: British;88
Audra Crain;female;White: Other;88
Audrey Cavanagh;female;White: British;77
Audrey Hastings;female;White: British;68
Audrey Mcvey;female;Asian or Asian British: Chinese;79
Audrey Migl;female;White: British;62
Audrey Schulman;female;Asian or Asian British: Bangladeshi;69
Audrey Turner;female;White: Other;51
Audrey Vance;female;White: Other;73
Audrey Wohlrab;female;White: British;79
Audry Vincent;female;White: Other;64
August Davis;male;Other: Any other ethnic group;84
Augustine Michael;female;White: British;35
Augustus Lafountain;male;White: British;84
Aurelia Campbell;female;White: British;85
Austin Grant;male;White: Other;33
Austin Prill;male;Black or Black British: African;70
Austin Saunders;male;Mixed: Other Mixed;36
Autumn Boaz;female;White: British;83
Autumn Duckey;female;Black or Black British: Caribbean;88
Avery Hafenstein;male;White: Other;82
Avery Urbanek;female;Black or Black British: Other Black;40
Ayesha White;female;Asian or Asian British: Indian;89
Azucena Kawamura;female;White: British;71
Babara Gresham;female;White: British;87
Bao Waddill;female;White: Other;89
Barb Hendrickson;female;White: British;35
Barbara Anderson;female;Black or Black British: African;84
Barbara Arriaga;female;White: British;67
Barbara Atwell;female;White: British;4
Barbara Brimmer;female;Asian or Asian British: Bangladeshi;80
Barbara Buckley;female;White: British;76
Barbara Bullard;female;Asian or Asian British: Pakistani;69
Barbara Cheek;female;Asian or Asian British: Pakistani;84
Barbara Churchill;female;White: Other;85
Barbara Coleman;female;White: British;77
Barbara Dapinto;female;White: British;88
Barbara Daugherty;female;White: British;78
Barbara Deep;female;Asian or Asian British: Chinese;86
Barbara Dickinson;female;White: British;24
Barbara Eiselein;female;Black or Black British: African;3
Barbara Elliot;female;White: Other;83
Barbara Ewing;female;White: British;80
Barbara Flanagan;female;Mixed: White and Asian;44
Barbara Furr;female;Asian or Asian British: Indian;39
Barbara Garvey;female;White: British;82
Barbara Getter;female;Asian or Asian British: Other Asian;89
Barbara Gonzales;female;White: Other;87
Barbara Guillen;female;White: Other;28
Barbara Heavener;female;White: Other;72
Barbara Hendrickson;female;Black or Black British: African;82
Barbara Henry;female;Black or Black British: African;70
Barbara Laws;female;Asian or Asian British: Indian;32
Barbara Malave;female;Black or Black British: African;88
Barbara Ortiz;female;Asian or Asian British: Other Asian;21
Barbara Patrick;female;Black or Black British: African;79
Barbara Peer;female;White: Other;72
Barbara Pendley;female;Asian or Asian British: Other Asian;89
Barbara Pierson;female;White: British;68
Barbara Provost;female;White: British;83
Barbara Reeves;female;White: British;2
Barbara Robinson;female;White: British;65
Barbara Russell;female;Asian or Asian British: Other Asian;15
Barbara Rykaczewski;female;White: British;89
Barbara Scheele;female;White: British;74
Barbara Schulte;female;Other: Arab;88
Barbara Updike;female;Asian or Asian British: Indian;82
Barbara Walter;female;White: Other;0
Barbara Ware;female;White: British;86
Barbara Warren;female;White: British;75
Barbara Williams;female;White: British;87
Barbera Miller;female;Other: Arab;75
Barbra Smith;female;White: British;62
Barbra Trevino;female;White: British;49
Barney Carpenter;male;Asian or Asian British: Indian;79
Barry Davis;male;Asian or Asian British: Indian;81
Barry George;male;White: British;0
